ClientId,CreditStatus
3734441,Reprovado
4454338,Reprovado
3257172,Reprovado
1567469,Reprovado
2002275,Reprovado
3214721,Ativo
1214315,Reprovado
1473381,Bloqueado
1654838,Ativo
3433656,Reprovado
3275756,Reprovado
595695,Ativo
1284911,Reprovado
2392008,Ativo
3555056,Reprovado
1534084,Reprovado
1543159,Ativo
3872603,Reprovado
2596329,Ativo
2679288,Reprovado
647095,Reprovado
1876060,Ativo
2198969,Bloqueado
2069617,Ativo
2826961,Ativo
1590122,Reprovado
2221015,Ativo
1727102,Ativo
431228,Reprovado
3085754,Reprovado
1968598,Ativo
1686833,Bloqueado
2056331,Ativo
2358134,Ativo
3858353,Ativo
200143,Ativo
1183950,Ativo
49259,Reprovado
2464976,Ativo
1285394,Ativo
3388029,Ativo
3127531,Ativo
1521949,Ativo
210281,Reprovado
2247415,Reprovado
1965708,Ativo
271407,Ativo
2954712,Reprovado
1085246,Ativo
788894,Reprovado
2811256,Ativo
2415776,Ativo
2646390,Ativo
2779232,Reprovado
132741,Ativo
1035667,Ativo
2201648,Reprovado
3215946,Reprovado
506926,Bloqueado
263201,Ativo
60455,Reprovado
196120,Reprovado
4123820,Ativo
3756555,Ativo
1635236,Ativo
1428371,Reprovado
2408988,Ativo
2480655,Reprovado
1244406,Reprovado
3899015,Ativo
2172183,Ativo
1785830,Ativo
2789535,Reprovado
256106,Ativo
1356332,Reprovado
1074435,Reprovado
1948785,Ativo
1621700,Ativo
62302,Reprovado
3614660,Ativo
3522457,Reprovado
331992,Reprovado
3193807,Reprovado
351802,Ativo
1852239,Ativo
2325595,Reprovado
1959049,Ativo
2255693,Ativo
1245142,Reprovado
3848635,Reprovado
759771,Reprovado
2455369,Reprovado
3925479,Reprovado
2073526,Aprovado
1450192,Bloqueado
1611825,Reprovado
97648,Reprovado
1261987,Ativo
2484931,Reprovado
430385,Reprovado
4005792,Reprovado
1275165,Reprovado
266952,Bloqueado
1635972,Ativo
735636,Ativo
622971,Ativo
928260,Reprovado
1671446,Reprovado
4056521,Reprovado
3560087,Ativo
3443199,Ativo
1381708,Bloqueado
2378654,Ativo
2883020,Bloqueado
3818066,Ativo
283414,Ativo
216891,Ativo
2269636,Reprovado
2749170,Bloqueado
3148673,Ativo
4046411,Reprovado
1989547,Ativo
1142126,Reprovado
1103411,Reprovado
3432210,Ativo
1049589,Ativo
1025560,Reprovado
2228596,Ativo
2965908,Reprovado
1925296,Ativo
1839356,Reprovado
2381905,Bloqueado
2269776,Ativo
3967500,Aprovado
3735324,Ativo
462120,Ativo
1167,Ativo
15121,Ativo
2201095,Ativo
1498099,Ativo
3439891,Ativo
920679,Reprovado
4136423,Reprovado
1821169,Ativo
2630778,Ativo
1878475,Ativo
2530205,Reprovado
1832529,Reprovado
2780322,Ativo
3654868,Bloqueado
3456713,Reprovado
1986242,Reprovado
3168875,Reprovado
3354333,Reprovado
4359928,Reprovado
347197,Ativo
1193002,Reprovado
689354,Reprovado
1994323,Reprovado
2565112,Reprovado
1704634,Reprovado
1091469,Ativo
493482,Reprovado
1287973,Bloqueado
1486885,Ativo
912012,Reprovado
828084,Reprovado
121981,Ativo
1319946,Reprovado
4392895,Reprovado
3889290,Reprovado
3140756,Reprovado
2618378,Ativo
689779,Reprovado
927156,Reprovado
2097371,Reprovado
1036774,Reprovado
2090891,Ativo
1623286,Ativo
1558767,Ativo
1843357,Reprovado
4235788,Reprovado
1987232,Ativo
1390282,Ativo
1752374,Ativo
1868586,Reprovado
2716610,Reprovado
57344,Bloqueado
2296430,Ativo
2766611,Ativo
1181049,Bloqueado
1882680,Ativo
2360384,Reprovado
4189003,Reprovado
3061687,Ativo
1213287,Bloqueado
1604401,Reprovado
2197165,Ativo
2670540,Ativo
1568295,Ativo
3777150,Reprovado
4270759,Reprovado
1646314,Ativo
1095763,Ativo
2539187,Ativo
2149955,Ativo
2685787,Ativo
2199751,Reprovado
3492427,Reprovado
2098779,Ativo
2357455,Ativo
1707642,Reprovado
527800,Ativo
1677562,Reprovado
1806600,Reprovado
2574051,Ativo
1820744,Ativo
1058027,Ativo
2231797,Ativo
1842621,Reprovado
774293,Reprovado
2572864,Reprovado
1562946,Reprovado
1555030,Ativo
366227,Reprovado
2245836,Reprovado
2505795,Ativo
1770633,Ativo
1241956,Bloqueado
1360751,Reprovado
1616970,Ativo
1979437,Ativo
1854250,Ativo
1606991,Reprovado
3809352,Reprovado
754488,Ativo
2327782,Ativo
2657118,Ativo
2316711,Ativo
3257984,Ativo
2318550,Reprovado
1715430,Reprovado
2217639,Ativo
2166660,Ativo
140275,Reprovado
3780158,Reprovado
1702067,Aprovado
1074753,Reprovado
3704000,Reprovado
1951453,Reprovado
1885087,Reprovado
3255822,Reprovado
354417,Ativo
1669299,Reprovado
947702,Ativo
81776,Bloqueado
1590105,Ativo
1290038,Ativo
211135,Reprovado
13727,Reprovado
1184075,Ativo
1820836,Reprovado
3358595,Reprovado
1208582,Ativo
1413556,Reprovado
2944891,Reprovado
3381655,Reprovado
3718222,Reprovado
4304362,Reprovado
1236561,Reprovado
1301163,Ativo
79222,Ativo
3161394,Reprovado
3515052,Ativo
2213730,Reprovado
3016773,Reprovado
3515166,Reprovado
3404466,Ativo
2577033,Reprovado
1221428,Reprovado
1982898,Reprovado
3708258,Reprovado
4237953,Reprovado
1012335,Ativo
1061453,Ativo
307339,Ativo
1520180,Reprovado
2247687,Ativo
253626,Reprovado
1746032,Reprovado
3591456,Reprovado
205126,Reprovado
2388457,Ativo
2518566,Reprovado
2872224,Ativo
1075921,Reprovado
2845230,Reprovado
3067163,Reprovado
2325213,Reprovado
4017406,Reprovado
2929376,Reprovado
1418765,Ativo
957494,Ativo
1243263,Reprovado
21519,Ativo
1513711,Bloqueado
1689766,Ativo
2847659,Reprovado
3684151,Reprovado
4047740,Reprovado
1415668,Ativo
1406643,Reprovado
398923,Ativo
1794289,Reprovado
1837474,Ativo
1094052,Ativo
1673540,Ativo
1753359,Reprovado
4409882,Reprovado
1350463,Ativo
449695,Ativo
1488961,Ativo
839606,Ativo
3559365,Ativo
643991,Bloqueado
444440,Ativo
59059,Ativo
2811159,Reprovado
1008237,Reprovado
1498756,Reprovado
2180478,Ativo
1801224,Ativo
2461025,Ativo
2204110,Ativo
2589866,Ativo
3859164,Ativo
3918277,Reprovado
3419627,Reprovado
551067,Reprovado
821286,Ativo
2145735,Reprovado
2642953,Ativo
1550543,Ativo
1007941,Bloqueado
1444155,Ativo
2821734,Bloqueado
1804514,Ativo
3517906,Reprovado
2084114,Ativo
1264777,Ativo
516175,Ativo
963192,Ativo
1870726,Reprovado
3269573,Ativo
3560279,Reprovado
557165,Reprovado
2169189,Ativo
1986367,Reprovado
3072032,Reprovado
3097986,Reprovado
845211,Ativo
663604,Ativo
837123,Bloqueado
2651763,Ativo
2535746,Reprovado
2607792,Reprovado
1223007,Reprovado
1532516,Reprovado
1903686,Ativo
2645890,Ativo
3727486,Ativo
1018537,Ativo
833464,Reprovado
2417894,Bloqueado
2363349,Reprovado
116282,Reprovado
3134704,Reprovado
913073,Reprovado
520862,Bloqueado
929485,Reprovado
1754463,Reprovado
1611522,Ativo
2110800,Reprovado
1667034,Reprovado
1198497,Ativo
2168714,Ativo
1014175,Ativo
1197060,Reprovado
2920391,Reprovado
2368437,Ativo
2943248,Reprovado
828774,Ativo
1564068,Reprovado
1960252,Reprovado
1744271,Reprovado
2860345,Reprovado
3194501,Ativo
4140485,Reprovado
3890258,Reprovado
679809,Ativo
690873,Ativo
4119579,Reprovado
220442,Ativo
1181442,Ativo
1968834,Ativo
1359801,Reprovado
2152663,Ativo
2943384,Bloqueado
4230676,Reprovado
1033752,Ativo
1169549,Ativo
805839,Ativo
1901549,Reprovado
1208817,Reprovado
2869762,Reprovado
1510317,Ativo
1371119,Ativo
1528936,Reprovado
818049,Reprovado
778123,Reprovado
1757357,Reprovado
4191511,Reprovado
213229,Ativo
964746,Bloqueado
1515572,Ativo
2144071,Ativo
2654367,Bloqueado
2253842,Reprovado
2383977,Ativo
2437075,Ativo
1421284,Ativo
1542909,Ativo
2344437,Ativo
2414779,Bloqueado
1795108,Ativo
1548710,Reprovado
2591649,Ativo
2413067,Reprovado
3538587,Reprovado
3576288,Bloqueado
1253320,Bloqueado
1589604,Reprovado
1610100,Ativo
1754121,Ativo
2358909,Ativo
2455766,Bloqueado
1950610,Reprovado
1948806,Reprovado
3011307,Reprovado
3698624,Ativo
935962,Reprovado
2101755,Ativo
1337805,Reprovado
1996524,Ativo
36048,Reprovado
1267467,Ativo
1423323,Reprovado
1822648,Ativo
2316100,Ativo
1875227,Reprovado
1308340,Ativo
1758397,Ativo
3607751,Ativo
1318335,Reprovado
1818061,Ativo
1902043,Ativo
3134286,Reprovado
75796,Ativo
1712434,Aprovado
2105731,Ativo
1976329,Ativo
4220298,Reprovado
3867269,Reprovado
281649,Ativo
2174037,Ativo
2313595,Reprovado
3613120,Ativo
2099701,Ativo
3123472,Reprovado
634210,Ativo
1388006,Ativo
2350653,Ativo
2949239,Reprovado
2588926,Reprovado
893243,Ativo
1306303,Reprovado
1455951,Ativo
1880576,Ativo
787597,Reprovado
1645389,Ativo
2103884,Ativo
2105591,Reprovado
